Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
05/02/2021,05/03/2021,26th Ward,26W,"2,216.00","1,270,023.20",,"290,608",RT-qPCR
05/02/2021,05/03/2021,Bowery Bay,BB,"5,190.00","1,784,757.22",,"924,695",RT-qPCR
05/02/2021,05/03/2021,Coney Island,CI,"3,528.00","1,487,597.90",,"682,342",RT-qPCR
05/02/2021,05/03/2021,Hunts Point,HP,"3,519.00","2,167,732.44",,"755,948",RT-qPCR
05/02/2021,05/03/2021,Jamaica Bay,JA,"2,779.00","1,067,730.37",,"748,737",RT-qPCR
05/02/2021,05/03/2021,Newtown Creek,NC,"11,537.00","6,042,152.23",This sample was analyzed in duplicate. The higher of the 2 results is reported,"1,156,473",RT-qPCR
05/02/2021,05/03/2021,North River,NR,"2,034.00","1,087,170.05",,"658,596",RT-qPCR
05/02/2021,05/03/2021,Oakwood Beach,OB,"9,747.00","3,779,039.99",,"258,731",RT-qPCR
05/02/2021,05/03/2021,Owls Head,OH,"4,245.00","1,471,273.16",,"906,442",RT-qPCR
05/02/2021,05/03/2021,Port Richmond,PR,"7,026.00","2,939,786.07",,"226,167",RT-qPCR
05/02/2021,05/03/2021,Red Hook,RH,"3,418.00","1,270,699.08",,"224,029",RT-qPCR
05/02/2021,05/03/2021,Rockaway,RK,"8,489.00","4,798,661.16",,"120,539",RT-qPCR
05/02/2021,05/03/2021,Tallman Island,TI,"3,140.00","1,320,803.19",,"449,907",RT-qPCR
05/02/2021,05/03/2021,Wards Island,WI,"6,211.00","2,700,646.30",,"1,201,485",RT-qPCR
05/09/2021,05/10/2021,26th Ward,26W,"5,093.00","4,378,554.12",,"290,608",RT-qPCR
05/09/2021,05/10/2021,Bowery Bay,BB,"2,060.00","1,248,148.49",,"924,695",RT-qPCR
05/09/2021,05/10/2021,Coney Island,CI,"4,400.00","2,172,663.80",,"682,342",RT-qPCR
05/09/2021,05/10/2021,Hunts Point,HP,"1,791.00","1,560,369.70",,"755,948",RT-qPCR
05/09/2021,05/10/2021,Jamaica Bay,JA,"2,421.00","1,174,906.30",,"748,737",RT-qPCR
05/09/2021,05/10/2021,Newtown Creek,NC,"1,698.00","1,367,560.68",,"1,156,473",RT-qPCR
05/09/2021,05/10/2021,North River,NR,"2,390.00","1,648,660.76",,"658,596",RT-qPCR
05/09/2021,05/10/2021,Oakwood Beach,OB,"9,176.00","3,906,896.04",,"258,731",RT-qPCR
05/09/2021,05/10/2021,Owls Head,OH,"4,469.00","2,295,621.48",,"906,442",RT-qPCR
05/09/2021,05/10/2021,Port Richmond,PR,"2,686.00","1,618,281.24",,"226,167",RT-qPCR
05/09/2021,05/10/2021,Red Hook,RH,"1,337.00","813,296.86",This sample was analyzed in duplicate. The higher of the 2 results is reported,"224,029",RT-qPCR
05/09/2021,05/10/2021,Rockaway,RK,"1,026.00","612,155.54",,"120,539",RT-qPCR
05/09/2021,05/10/2021,Tallman Island,TI,"2,147.00","1,246,530.24",,"449,907",RT-qPCR
05/09/2021,05/10/2021,Wards Island,WI,"2,790.00","2,101,172.83",,"1,201,485",RT-qPCR
05/11/2021,05/12/2021,26th Ward,26W,"2,333.00","1,367,700.16",,"290,608",RT-qPCR
05/11/2021,05/12/2021,Bowery Bay,BB,"2,343.00","796,233.71",,"924,695",RT-qPCR
05/11/2021,05/12/2021,Coney Island,CI,"3,537.00","1,432,506.61",,"682,342",RT-qPCR
05/11/2021,05/12/2021,Hunts Point,HP,"1,979.00","1,179,543.13",,"755,948",RT-qPCR
05/11/2021,05/12/2021,Jamaica Bay,JA,"1,557.00","590,472.31",,"748,737",RT-qPCR
05/11/2021,05/12/2021,Newtown Creek,NC,"1,279.00","690,837.56",,"1,156,473",RT-qPCR
05/11/2021,05/12/2021,North River,NR,"1,319.00","682,247.55",,"658,596",RT-qPCR
05/11/2021,05/12/2021,Oakwood Beach,OB,"5,004.00","1,954,646.02",This sample was analyzed in duplicate. The higher of the 2 results is reported,"258,731",RT-qPCR
05/11/2021,05/12/2021,Owls Head,OH,"3,311.00","1,133,867.79",,"906,442",RT-qPCR
05/11/2021,05/12/2021,Port Richmond,PR,"1,619.00","650,219.25",,"226,167",RT-qPCR
05/11/2021,05/12/2021,Red Hook,RH,"1,704.00","633,413.41",,"224,029",RT-qPCR
05/11/2021,05/12/2021,Rockaway,RK,"2,172.00","1,227,543.94",,"120,539",RT-qPCR
05/11/2021,05/12/2021,Tallman Island,TI,"1,457.00","698,557.25",,"449,907",RT-qPCR
05/11/2021,05/12/2021,Wards Island,WI,"2,393.00","1,304,515.89",,"1,201,485",RT-qPCR
05/16/2021,05/17/2021,26th Ward,26W,"1,906.00","1,092,307.38",,"290,608",RT-qPCR
05/16/2021,05/17/2021,Bowery Bay,BB,"1,427.00","496,493.26",,"924,695",RT-qPCR
05/16/2021,05/17/2021,Coney Island,CI,"2,473.00","1,015,163.65",,"682,342",RT-qPCR
05/16/2021,05/17/2021,Hunts Point,HP,"1,283.00","693,611.33",,"755,948",RT-qPCR
05/16/2021,05/17/2021,Jamaica Bay,JA,"3,534.00","1,340,107.44",,"748,737",RT-qPCR
05/16/2021,05/17/2021,Newtown Creek,NC,"1,593.00","834,145.10",This sample was analyzed in duplicate. The higher of the 2 results is reported,"1,156,473",RT-qPCR
05/16/2021,05/17/2021,North River,NR,862.00,"431,199.84",,"658,596",RT-qPCR
05/16/2021,05/17/2021,Oakwood Beach,OB,"3,507.00","1,298,191.45",,"258,731",RT-qPCR
05/16/2021,05/17/2021,Owls Head,OH,"5,167.00","1,747,889.57",,"906,442",RT-qPCR
05/16/2021,05/17/2021,Port Richmond,PR,"1,288.00","495,675.29",,"226,167",RT-qPCR
05/16/2021,05/17/2021,Red Hook,RH,682.00,"241,939.54",,"224,029",RT-qPCR
05/16/2021,05/17/2021,Rockaway,RK,"1,077.00","642,363.50",,"120,539",RT-qPCR
05/16/2021,05/17/2021,Tallman Island,TI,"2,549.00","1,050,767.93",,"449,907",RT-qPCR
05/16/2021,05/17/2021,Wards Island,WI,"3,656.00","1,796,842.78",,"1,201,485",RT-qPCR
05/18/2021,05/19/2021,26th Ward,26W,"1,835.00","1,027,801.91",,"290,608",RT-qPCR
05/18/2021,05/19/2021,Bowery Bay,BB,"4,553.00","1,584,224.97",,"924,695",RT-qPCR
05/18/2021,05/19/2021,Coney Island,CI,"4,286.00","1,735,649.20",,"682,342",RT-qPCR
05/18/2021,05/19/2021,Hunts Point,HP,"1,699.00","935,908.76",,"755,948",RT-qPCR
05/18/2021,05/19/2021,Jamaica Bay,JA,"3,461.00","1,294,929.59",,"748,737",RT-qPCR
05/18/2021,05/19/2021,Newtown Creek,NC,"3,846.00","2,064,783.39",,"1,156,473",RT-qPCR
05/18/2021,05/19/2021,North River,NR,"1,245.00","629,686.69",,"658,596",RT-qPCR
05/18/2021,05/19/2021,Oakwood Beach,OB,"5,970.00","2,131,280.22",,"258,731",RT-qPCR
05/18/2021,05/19/2021,Owls Head,OH,"5,161.00","1,831,935.43",,"906,442",RT-qPCR
05/18/2021,05/19/2021,Port Richmond,PR,"1,597.00","614,711.71",This sample was analyzed in duplicate. The higher of the 2 results is reported,"226,167",RT-qPCR
05/18/2021,05/19/2021,Red Hook,RH,"1,106.00","392,397.81",,"224,029",RT-qPCR
05/18/2021,05/19/2021,Rockaway,RK,358.00,"191,158.87",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
05/18/2021,05/19/2021,Tallman Island,TI,"1,536.00","633,080.98",,"449,907",RT-qPCR
05/18/2021,05/19/2021,Wards Island,WI,"1,626.00","814,675.84",,"1,201,485",RT-qPCR
05/23/2021,05/24/2021,26th Ward,26W,"8,284.00","4,855,692.95",,"290,608",RT-qPCR
05/23/2021,05/24/2021,Bowery Bay,BB,"2,438.00","858,271.19",,"924,695",RT-qPCR
05/23/2021,05/24/2021,Coney Island,CI,"1,796.00","677,365.16",,"682,342",RT-qPCR
05/23/2021,05/24/2021,Hunts Point,HP,747.00,"441,388.50",,"755,948",RT-qPCR
05/23/2021,05/24/2021,Jamaica Bay,JA,508.00,"189,892.94",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
05/23/2021,05/24/2021,Newtown Creek,NC,772.00,"409,344.76",,"1,156,473",RT-qPCR
05/23/2021,05/24/2021,North River,NR,664.00,"328,412.61",,"658,596",RT-qPCR
05/23/2021,05/24/2021,Oakwood Beach,OB,"12,070.00","4,432,574.65",,"258,731",RT-qPCR
05/23/2021,05/24/2021,Owls Head,OH,"1,574.00","552,241.96",,"906,442",RT-qPCR
05/23/2021,05/24/2021,Port Richmond,PR,"3,922.00","1,575,361.83",,"226,167",RT-qPCR
05/23/2021,05/24/2021,Red Hook,RH,576.00,"204,423.92",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
05/23/2021,05/24/2021,Rockaway,RK,"2,003.00","1,069,573.06",This sample was analyzed in duplicate. The higher of the 2 results is reported,"120,539",RT-qPCR
05/23/2021,05/24/2021,Tallman Island,TI,648.00,"272,808.93",,"449,907",RT-qPCR
05/23/2021,05/24/2021,Wards Island,WI,"1,017.00","560,596.24",,"1,201,485",RT-qPCR
05/25/2021,05/26/2021,26th Ward,26W,964.00,"540,034.75",,"290,608",RT-qPCR
05/25/2021,05/26/2021,Bowery Bay,BB,"1,508.00","524,641.00",,"924,695",RT-qPCR
05/25/2021,05/26/2021,Coney Island,CI,"1,002.00","411,402.42",,"682,342",RT-qPCR
05/25/2021,05/26/2021,Hunts Point,HP,"1,323.00","689,113.58",,"755,948",RT-qPCR
05/25/2021,05/26/2021,Jamaica Bay,JA,994.00,"366,926.99",,"748,737",RT-qPCR
05/25/2021,05/26/2021,Newtown Creek,NC,"1,252.00","688,204.84",,"1,156,473",RT-qPCR
05/25/2021,05/26/2021,North River,NR,737.00,"393,748.79",,"658,596",RT-qPCR
05/25/2021,05/26/2021,Oakwood Beach,OB,"11,969.00","5,148,411.08",,"258,731",RT-qPCR
05/25/2021,05/26/2021,Owls Head,OH,"1,558.00","598,557.31",,"906,442",RT-qPCR
05/25/2021,05/26/2021,Port Richmond,PR,932.00,"343,090.90",,"226,167",RT-qPCR
05/25/2021,05/26/2021,Red Hook,RH,681.00,"253,058.49",,"224,029",RT-qPCR
05/25/2021,05/26/2021,Rockaway,RK,"3,406.00","1,818,164.54",,"120,539",RT-qPCR
05/25/2021,05/26/2021,Tallman Island,TI,"1,356.00","559,130.10",,"449,907",RT-qPCR
05/25/2021,05/26/2021,Wards Island,WI,"1,527.00","779,433.55",This sample was analyzed in duplicate. The higher of the 2 results is reported,"1,201,485",RT-qPCR
05/30/2021,05/31/2021,26th Ward,26W,243.00,"313,037.93",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
05/30/2021,05/31/2021,Bowery Bay,BB,208.00,"185,746.37",Concentration below Method Limit of Quantification (above Method Limit of Detection),"924,695",RT-qPCR
05/30/2021,05/31/2021,Coney Island,CI,652.00,"495,195.34",,"682,342",RT-qPCR
05/30/2021,05/31/2021,Hunts Point,HP,359.00,"427,830.04",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
05/30/2021,05/31/2021,Jamaica Bay,JA,821.00,"510,310.77",This sample was analyzed in duplicate. The higher of the 2 results is reported,"748,737",RT-qPCR
05/30/2021,05/31/2021,Newtown Creek,NC,406.00,"488,642.71",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
05/30/2021,05/31/2021,North River,NR,526.00,"511,016.31",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
05/30/2021,05/31/2021,Oakwood Beach,OB,983.00,"587,994.23",,"258,731",RT-qPCR
05/30/2021,05/31/2021,Owls Head,OH,"1,379.00","806,066.16",,"906,442",RT-qPCR
05/30/2021,05/31/2021,Port Richmond,PR,262.00,"271,610.95",Concentration below Method Limit of Quantification (above Method Limit of Detection),"226,167",RT-qPCR
05/30/2021,05/31/2021,Red Hook,RH,419.00,"346,776.47",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
05/30/2021,05/31/2021,Rockaway,RK,526.00,"412,916.51",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
05/30/2021,05/31/2021,Tallman Island,TI,885.00,"729,627.56",,"449,907",RT-qPCR
05/30/2021,05/31/2021,Wards Island,WI,432.00,"406,053.54",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,201,485",RT-qPCR
06/01/2021,06/02/2021,26th Ward,26W,"1,102.00","645,657.80",,"290,608",RT-qPCR
06/01/2021,06/02/2021,Bowery Bay,BB,728.00,"262,187.88",,"924,695",RT-qPCR
06/01/2021,06/02/2021,Coney Island,CI,616.00,"232,340.76",,"682,342",RT-qPCR
06/01/2021,06/02/2021,Hunts Point,HP,342.00,"200,632.71",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
06/01/2021,06/02/2021,Jamaica Bay,JA,,,Concentration below Method Limit of Detection,"748,737",RT-qPCR
06/01/2021,06/02/2021,Newtown Creek,NC,298.00,"162,803.93",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
06/01/2021,06/02/2021,North River,NR,236.00,"124,859.39",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
06/01/2021,06/02/2021,Oakwood Beach,OB,"9,973.00","4,143,887.45",,"258,731",RT-qPCR
06/01/2021,06/02/2021,Owls Head,OH,"2,686.00","1,009,610.74",This sample was analyzed in duplicate. The higher of the 2 results is reported,"906,442",RT-qPCR
06/01/2021,06/02/2021,Port Richmond,PR,211.00,"91,739.07",Concentration below Method Limit of Quantification (above Method Limit of Detection),"226,167",RT-qPCR
06/01/2021,06/02/2021,Red Hook,RH,"2,446.00","950,605.65",,"224,029",RT-qPCR
06/01/2021,06/02/2021,Rockaway,RK,737.00,"486,283.45",,"120,539",RT-qPCR
06/01/2021,06/02/2021,Tallman Island,TI,,,Concentration below Method Limit of Detection,"449,907",RT-qPCR
06/01/2021,06/02/2021,Wards Island,WI,"1,570.00","825,830.29",,"1,201,485",RT-qPCR
06/06/2021,06/07/2021,26th Ward,26W,552.00,"330,935.81",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
06/06/2021,06/07/2021,Bowery Bay,BB,617.00,"232,220.69",,"924,695",RT-qPCR
06/06/2021,06/07/2021,Coney Island,CI,841.00,"340,680.54",,"682,342",RT-qPCR
06/06/2021,06/07/2021,Hunts Point,HP,670.00,"439,401.06",,"755,948",RT-qPCR
06/06/2021,06/07/2021,Jamaica Bay,JA,790.00,"307,549.17",,"748,737",RT-qPCR
06/06/2021,06/07/2021,Newtown Creek,NC,557.00,"309,884.55",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
06/06/2021,06/07/2021,North River,NR,898.00,"500,630.53",,"658,596",RT-qPCR
06/06/2021,06/07/2021,Oakwood Beach,OB,"3,586.00","1,500,328.82",This sample was analyzed in duplicate. The higher of the 2 results is reported,"258,731",RT-qPCR
06/06/2021,06/07/2021,Owls Head,OH,"1,623.00","569,434.97",,"906,442",RT-qPCR
06/06/2021,06/07/2021,Port Richmond,PR,"1,097.00","734,484.20",,"226,167",RT-qPCR
06/06/2021,06/07/2021,Red Hook,RH,,,"Concentration below Method Limit of Detection - No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","224,029",RT-qPCR
06/06/2021,06/07/2021,Rockaway,RK,550.00,"362,516.50",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
06/06/2021,06/07/2021,Tallman Island,TI,"1,451.00","744,893.68",,"449,907",RT-qPCR
06/06/2021,06/07/2021,Wards Island,WI,"1,184.00","824,260.53","No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells","1,201,485",RT-qPCR
06/08/2021,06/09/2021,26th Ward,26W,279.00,"298,046.50",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
06/08/2021,06/09/2021,Bowery Bay,BB,"2,298.00","1,307,803.50",,"924,695",RT-qPCR
06/08/2021,06/09/2021,Coney Island,CI,"1,090.00","816,492.77",,"682,342",RT-qPCR
06/08/2021,06/09/2021,Hunts Point,HP,371.00,"326,575.32",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
06/08/2021,06/09/2021,Jamaica Bay,JA,415.00,"188,951.76",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
06/08/2021,06/09/2021,Newtown Creek,NC,,,Concentration below Method Limit of Detection,"1,156,473",RT-qPCR
06/08/2021,06/09/2021,North River,NR,933.00,"740,370.99",,"658,596",RT-qPCR
06/08/2021,06/09/2021,Oakwood Beach,OB,"2,992.00","1,453,309.34",,"258,731",RT-qPCR
06/08/2021,06/09/2021,Owls Head,OH,"3,161.00","1,451,941.70",,"906,442",RT-qPCR
06/08/2021,06/09/2021,Port Richmond,PR,595.00,"518,021.60",,"226,167",RT-qPCR
06/08/2021,06/09/2021,Red Hook,RH,,,Concentration below Method Limit of Detection,"224,029",RT-qPCR
06/08/2021,06/09/2021,Rockaway,RK,458.00,"301,985.96",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
06/08/2021,06/09/2021,Tallman Island,TI,311.00,"182,891.78",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
06/08/2021,06/09/2021,Wards Island,WI,357.00,"299,076.59",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"1,201,485",RT-qPCR
06/13/2021,06/14/2021,26th Ward,26W,584.00,"350,212.16",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
06/13/2021,06/14/2021,Bowery Bay,BB,443.00,"154,064.56",Concentration below Method Limit of Quantification (above Method Limit of Detection),"924,695",RT-qPCR
06/13/2021,06/14/2021,Coney Island,CI,"1,265.00","512,222.01",,"682,342",RT-qPCR
06/13/2021,06/14/2021,Hunts Point,HP,931.00,"498,876.24",,"755,948",RT-qPCR
06/13/2021,06/14/2021,Jamaica Bay,JA,653.00,"250,799.65",,"748,737",RT-qPCR
06/13/2021,06/14/2021,Newtown Creek,NC,282.00,"152,073.65",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"1,156,473",RT-qPCR
06/13/2021,06/14/2021,North River,NR,"1,609.00","823,081.20",,"658,596",RT-qPCR
06/13/2021,06/14/2021,Oakwood Beach,OB,"4,291.00","1,695,102.64",,"258,731",RT-qPCR
06/13/2021,06/14/2021,Owls Head,OH,"11,604.00","3,925,177.22",,"906,442",RT-qPCR
06/13/2021,06/14/2021,Port Richmond,PR,"1,962.00","886,684.06",,"226,167",RT-qPCR
06/13/2021,06/14/2021,Red Hook,RH,"1,447.00","660,176.91",,"224,029",RT-qPCR
06/13/2021,06/14/2021,Rockaway,RK,850.00,"587,087.88",,"120,539",RT-qPCR
06/13/2021,06/14/2021,Tallman Island,TI,503.00,"224,200.64",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
06/13/2021,06/14/2021,Wards Island,WI,"1,297.00","723,276.59",,"1,201,485",RT-qPCR
06/15/2021,06/16/2021,26th Ward,26W,334.00,"200,381.01",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
06/15/2021,06/16/2021,Bowery Bay,BB,964.00,"339,520.98",,"924,695",RT-qPCR
06/15/2021,06/16/2021,Coney Island,CI,582.00,"252,048.99",Concentration below Method Limit of Quantification (above Method Limit of Detection),"682,342",RT-qPCR
06/15/2021,06/16/2021,Hunts Point,HP,642.00,"369,873.70",,"755,948",RT-qPCR
06/15/2021,06/16/2021,Jamaica Bay,JA,262.00,"99,222.55",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
06/15/2021,06/16/2021,Newtown Creek,NC,181.00,"103,514.05",Concentration below Method Limit of Quantification (above Method Limit of Detection),"1,156,473",RT-qPCR
06/15/2021,06/16/2021,North River,NR,975.00,"532,595.12",,"658,596",RT-qPCR
06/15/2021,06/16/2021,Oakwood Beach,OB,"3,554.00","1,404,124.88",This sample was analyzed in duplicate. The higher of the 2 results is reported,"258,731",RT-qPCR
06/15/2021,06/16/2021,Owls Head,OH,"7,629.00","2,931,147.51",,"906,442",RT-qPCR
06/15/2021,06/16/2021,Port Richmond,PR,566.00,"255,563.18",Concentration below Method Limit of Quantification (above Method Limit of Detection),"226,167",RT-qPCR
06/15/2021,06/16/2021,Red Hook,RH,603.00,"244,616.24",,"224,029",RT-qPCR
06/15/2021,06/16/2021,Rockaway,RK,948.00,"625,164.12",,"120,539",RT-qPCR
06/15/2021,06/16/2021,Tallman Island,TI,532.00,"232,844.14",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
06/15/2021,06/16/2021,Wards Island,WI,"1,145.00","620,629.74",,"1,201,485",RT-qPCR
06/20/2021,06/21/2021,26th Ward,26W,830.00,"529,845.73",,"290,608",RT-qPCR
06/20/2021,06/21/2021,Bowery Bay,BB,889.00,"316,446.40",,"924,695",RT-qPCR
06/20/2021,06/21/2021,Coney Island,CI,,,Concentration below Method Limit of Detection,"682,342",RT-qPCR
06/20/2021,06/21/2021,Hunts Point,HP,624.00,"412,614.59",This sample was analyzed in duplicate. The higher of the 2 results is reported,"755,948",RT-qPCR
06/20/2021,06/21/2021,Jamaica Bay,JA,644.00,"241,045.67",,"748,737",RT-qPCR
06/20/2021,06/21/2021,Newtown Creek,NC,,,Concentration below Method Limit of Detection,"1,156,473",RT-qPCR
06/20/2021,06/21/2021,North River,NR,"1,224.00","647,481.43",,"658,596",RT-qPCR
06/20/2021,06/21/2021,Oakwood Beach,OB,"2,892.00","1,087,319.53",,"258,731",RT-qPCR
06/20/2021,06/21/2021,Owls Head,OH,"7,782.00","2,859,741.80",,"906,442",RT-qPCR
06/20/2021,06/21/2021,Port Richmond,PR,"1,029.00","430,658.57",,"226,167",RT-qPCR
06/20/2021,06/21/2021,Red Hook,RH,"1,437.00","510,008.50",,"224,029",RT-qPCR
06/20/2021,06/21/2021,Rockaway,RK,216.00,"142,526.27",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
06/20/2021,06/21/2021,Tallman Island,TI,241.00,"97,342.66",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
06/20/2021,06/21/2021,Wards Island,WI,663.00,"418,010.96",,"1,201,485",RT-qPCR
06/22/2021,06/23/2021,26th Ward,26W,"1,216.00","823,600.88",,"290,608",RT-qPCR
06/22/2021,06/23/2021,Bowery Bay,BB,400.00,"184,855.58",Concentration below Method Limit of Quantification (above Method Limit of Detection),"924,695",RT-qPCR
06/22/2021,06/23/2021,Coney Island,CI,"4,250.00","1,957,165.70",,"682,342",RT-qPCR
06/22/2021,06/23/2021,Hunts Point,HP,907.00,"604,145.43",,"755,948",RT-qPCR
06/22/2021,06/23/2021,Jamaica Bay,JA,724.00,"314,663.39",,"748,737",RT-qPCR
06/22/2021,06/23/2021,Newtown Creek,NC,920.00,"623,649.16",,"1,156,473",RT-qPCR
06/22/2021,06/23/2021,North River,NR,482.00,"299,203.21",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
06/22/2021,06/23/2021,Oakwood Beach,OB,"2,883.00","1,130,367.76",,"258,731",RT-qPCR
06/22/2021,06/23/2021,Owls Head,OH,"7,489.00","3,158,890.97",,"906,442",RT-qPCR
06/22/2021,06/23/2021,Port Richmond,PR,"1,086.00","508,969.55",,"226,167",RT-qPCR
06/22/2021,06/23/2021,Red Hook,RH,289.00,"127,004.56",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
06/22/2021,06/23/2021,Rockaway,RK,,,Concentration below Method Limit of Detection,"120,539",RT-qPCR
06/22/2021,06/23/2021,Tallman Island,TI,597.00,"326,628.08",This sample was analyzed in duplicate. The higher of the 2 results is reported,"449,907",RT-qPCR
06/22/2021,06/23/2021,Wards Island,WI,"1,043.00","699,944.77",,"1,201,485",RT-qPCR
06/27/2021,06/28/2021,26th Ward,26W,670.00,"410,468.71",,"290,608",RT-qPCR
06/27/2021,06/28/2021,Bowery Bay,BB,"1,276.00","459,845.16",,"924,695",RT-qPCR
06/27/2021,06/28/2021,Coney Island,CI,732.00,"292,291.38",,"682,342",RT-qPCR
06/27/2021,06/28/2021,Hunts Point,HP,407.00,"242,608.25",Concentration below Method Limit of Quantification (above Method Limit of Detection),"755,948",RT-qPCR
06/27/2021,06/28/2021,Jamaica Bay,JA,338.00,"141,802.58",Concentration below Method Limit of Quantification (above Method Limit of Detection),"748,737",RT-qPCR
06/27/2021,06/28/2021,Newtown Creek,NC,"1,271.00","698,736.89",,"1,156,473",RT-qPCR
06/27/2021,06/28/2021,North River,NR,647.00,"364,428.51",,"658,596",RT-qPCR
06/27/2021,06/28/2021,Oakwood Beach,OB,"7,557.00","2,885,776.13",,"258,731",RT-qPCR
06/27/2021,06/28/2021,Owls Head,OH,"2,972.00","1,042,569.60",,"906,442",RT-qPCR
06/27/2021,06/28/2021,Port Richmond,PR,"2,312.00","967,223.17",,"226,167",RT-qPCR
06/27/2021,06/28/2021,Red Hook,RH,456.00,"169,580.01",Concentration below Method Limit of Quantification (above Method Limit of Detection) - This sample was analyzed in duplicate. The higher of the 2 results is reported,"224,029",RT-qPCR
06/27/2021,06/28/2021,Rockaway,RK,193.00,"133,199.66",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
06/27/2021,06/28/2021,Tallman Island,TI,476.00,"200,098.76",Concentration below Method Limit of Quantification (above Method Limit of Detection),"449,907",RT-qPCR
06/27/2021,06/28/2021,Wards Island,WI,"2,389.00","1,460,302.98",,"1,201,485",RT-qPCR
06/29/2021,06/30/2021,26th Ward,26W,385.00,"251,013.98",Concentration below Method Limit of Quantification (above Method Limit of Detection),"290,608",RT-qPCR
06/29/2021,06/30/2021,Bowery Bay,BB,928.00,"341,975.64",,"924,695",RT-qPCR
06/29/2021,06/30/2021,Coney Island,CI,"1,696.00","649,336.78",This sample was analyzed in duplicate. The higher of the 2 results is reported,"682,342",RT-qPCR
06/29/2021,06/30/2021,Hunts Point,HP,741.00,"523,137.32",,"755,948",RT-qPCR
06/29/2021,06/30/2021,Jamaica Bay,JA,"1,614.00","595,622.79",,"748,737",RT-qPCR
06/29/2021,06/30/2021,Newtown Creek,NC,"1,028.00","625,667.35",,"1,156,473",RT-qPCR
06/29/2021,06/30/2021,North River,NR,190.00,"120,960.55",Concentration below Method Limit of Quantification (above Method Limit of Detection),"658,596",RT-qPCR
06/29/2021,06/30/2021,Oakwood Beach,OB,"11,096.00","4,091,123.68",,"258,731",RT-qPCR
06/29/2021,06/30/2021,Owls Head,OH,"5,794.00","2,056,816.17",,"906,442",RT-qPCR
06/29/2021,06/30/2021,Port Richmond,PR,"1,926.00","773,758.38",,"226,167",RT-qPCR
06/29/2021,06/30/2021,Red Hook,RH,523.00,"265,250.89",Concentration below Method Limit of Quantification (above Method Limit of Detection),"224,029",RT-qPCR
06/29/2021,06/30/2021,Rockaway,RK,417.00,"261,759.12",Concentration below Method Limit of Quantification (above Method Limit of Detection),"120,539",RT-qPCR
06/29/2021,06/30/2021,Tallman Island,TI,"2,444.00","1,028,081.20",,"449,907",RT-qPCR
